aggregator,attack,round,num_honest,num_attackers,dim,byzantine_fraction,clip_radius,seed,distance_from_true_value,asr
fedavg,adaptive_evasion,0,8,2,3,0.2,1.0,1,17.012531,0.20045285
fedavg,adaptive_evasion,1,8,2,3,0.2,1.0,1,20.396658,0.19959347
fedavg,adaptive_evasion,2,8,2,3,0.2,1.0,1,24.637772,0.2003468
fedavg,adaptive_evasion,3,8,2,3,0.2,1.0,1,29.690437,0.20072341
fedavg,adaptive_evasion,4,8,2,3,0.2,1.0,1,35.59489,0.20014332
fedavg,adaptive_evasion,5,8,2,3,0.2,1.0,1,42.854065,0.20047483
fedavg,adaptive_evasion,6,8,2,3,0.2,1.0,1,51.305115,0.19973819
fedavg,adaptive_evasion,7,8,2,3,0.2,1.0,1,61.627155,0.1997117
fedavg,adaptive_evasion,8,8,2,3,0.2,1.0,1,74.25372,0.2003375
fedavg,adaptive_evasion,9,8,2,3,0.2,1.0,1,88.97709,0.19989544
fedavg,adaptive_evasion,10,8,2,3,0.2,1.0,1,107.1198,0.20041561
fedavg,adaptive_evasion,11,8,2,3,0.2,1.0,1,128.34592,0.19999914
fedavg,adaptive_evasion,12,8,2,3,0.2,1.0,1,154.02246,0.19991876
fedavg,adaptive_evasion,13,8,2,3,0.2,1.0,1,185.06522,0.20010151
fedavg,adaptive_evasion,14,8,2,3,0.2,1.0,1,222.16391,0.20011622
fedavg,adaptive_evasion,15,8,2,3,0.2,1.0,1,266.4558,0.19995844
fedavg,adaptive_evasion,16,8,2,3,0.2,1.0,1,319.87057,0.19999242
fedavg,adaptive_evasion,17,8,2,3,0.2,1.0,1,383.93997,0.20000595
fedavg,adaptive_evasion,18,8,2,3,0.2,1.0,1,460.84766,0.20002781
fedavg,adaptive_evasion,19,8,2,3,0.2,1.0,1,552.94073,0.19997509
fedavg,adaptive_evasion,0,8,2,3,0.2,1.0,1001,16.926119,0.19943468
fedavg,adaptive_evasion,1,8,2,3,0.2,1.0,1001,20.512333,0.20072542
fedavg,adaptive_evasion,2,8,2,3,0.2,1.0,1001,24.571001,0.19980384
fedavg,adaptive_evasion,3,8,2,3,0.2,1.0,1001,29.585333,0.20001285
fedavg,adaptive_evasion,4,8,2,3,0.2,1.0,1001,35.47646,0.19947742
fedavg,adaptive_evasion,5,8,2,3,0.2,1.0,1001,42.82614,0.2003442
fedavg,adaptive_evasion,6,8,2,3,0.2,1.0,1001,51.395405,0.20008971
fedavg,adaptive_evasion,7,8,2,3,0.2,1.0,1001,61.627037,0.19971132
fedavg,adaptive_evasion,8,8,2,3,0.2,1.0,1001,74.27272,0.20038876
fedavg,adaptive_evasion,9,8,2,3,0.2,1.0,1001,89.124985,0.2002277
fedavg,adaptive_evasion,10,8,2,3,0.2,1.0,1001,106.83427,0.1998814
fedavg,adaptive_evasion,11,8,2,3,0.2,1.0,1001,128.42601,0.20012394
fedavg,adaptive_evasion,12,8,2,3,0.2,1.0,1001,154.13644,0.20006672
fedavg,adaptive_evasion,13,8,2,3,0.2,1.0,1001,185.12799,0.20016938
fedavg,adaptive_evasion,14,8,2,3,0.2,1.0,1001,222.12076,0.20007735
fedavg,adaptive_evasion,15,8,2,3,0.2,1.0,1001,266.43735,0.19994459
fedavg,adaptive_evasion,16,8,2,3,0.2,1.0,1001,319.7598,0.19992316
fedavg,adaptive_evasion,17,8,2,3,0.2,1.0,1001,383.9565,0.20001458
fedavg,adaptive_evasion,18,8,2,3,0.2,1.0,1001,460.79337,0.20000423
fedavg,adaptive_evasion,19,8,2,3,0.2,1.0,1001,553.0381,0.2000103
fedavg,adaptive_evasion,0,8,2,3,0.2,1.0,2001,17.026028,0.20061187
fedavg,adaptive_evasion,1,8,2,3,0.2,1.0,2001,20.199984,0.1976689
fedavg,adaptive_evasion,2,8,2,3,0.2,1.0,2001,24.459318,0.19889568
fedavg,adaptive_evasion,3,8,2,3,0.2,1.0,2001,29.514894,0.19953665
fedavg,adaptive_evasion,4,8,2,3,0.2,1.0,2001,35.685555,0.20065312
fedavg,adaptive_evasion,5,8,2,3,0.2,1.0,2001,42.66545,0.19959249
fedavg,adaptive_evasion,6,8,2,3,0.2,1.0,2001,51.35036,0.19991434
fedavg,adaptive_evasion,7,8,2,3,0.2,1.0,2001,61.697174,0.19993861
fedavg,adaptive_evasion,8,8,2,3,0.2,1.0,2001,74.1921,0.20017125
fedavg,adaptive_evasion,9,8,2,3,0.2,1.0,2001,89.09376,0.20015754
fedavg,adaptive_evasion,10,8,2,3,0.2,1.0,2001,106.840324,0.19989273
fedavg,adaptive_evasion,11,8,2,3,0.2,1.0,2001,128.34467,0.19999719
fedavg,adaptive_evasion,12,8,2,3,0.2,1.0,2001,154.26915,0.20023896
fedavg,adaptive_evasion,13,8,2,3,0.2,1.0,2001,185.14651,0.20018941
fedavg,adaptive_evasion,14,8,2,3,0.2,1.0,2001,221.94237,0.19991666
fedavg,adaptive_evasion,15,8,2,3,0.2,1.0,2001,266.52338,0.20000915
fedavg,adaptive_evasion,16,8,2,3,0.2,1.0,2001,319.78296,0.19993764
fedavg,adaptive_evasion,17,8,2,3,0.2,1.0,2001,384.0493,0.2000629
fedavg,adaptive_evasion,18,8,2,3,0.2,1.0,2001,460.82993,0.2000201
fedavg,adaptive_evasion,19,8,2,3,0.2,1.0,2001,553.1464,0.20004947
fedavg,adaptive_evasion,0,8,2,3,0.2,1.0,3001,16.98005,0.20007011
fedavg,adaptive_evasion,1,8,2,3,0.2,1.0,3001,20.409182,0.19971602
fedavg,adaptive_evasion,2,8,2,3,0.2,1.0,3001,24.776163,0.20147216
fedavg,adaptive_evasion,3,8,2,3,0.2,1.0,3001,29.485323,0.19933672
fedavg,adaptive_evasion,4,8,2,3,0.2,1.0,3001,35.533676,0.19979914
fedavg,adaptive_evasion,5,8,2,3,0.2,1.0,3001,42.729996,0.19989443
fedavg,adaptive_evasion,6,8,2,3,0.2,1.0,3001,51.331066,0.19983922
fedavg,adaptive_evasion,7,8,2,3,0.2,1.0,3001,61.651043,0.1997891
fedavg,adaptive_evasion,8,8,2,3,0.2,1.0,3001,74.09016,0.19989619
fedavg,adaptive_evasion,9,8,2,3,0.2,1.0,3001,89.09284,0.20015548
fedavg,adaptive_evasion,10,8,2,3,0.2,1.0,3001,107.00422,0.20019938
fedavg,adaptive_evasion,11,8,2,3,0.2,1.0,3001,128.17657,0.19973525
fedavg,adaptive_evasion,12,8,2,3,0.2,1.0,3001,154.19234,0.20013925
fedavg,adaptive_evasion,13,8,2,3,0.2,1.0,3001,184.89526,0.19991775
fedavg,adaptive_evasion,14,8,2,3,0.2,1.0,3001,221.99275,0.19996205
fedavg,adaptive_evasion,15,8,2,3,0.2,1.0,3001,266.4614,0.19996265
fedavg,adaptive_evasion,16,8,2,3,0.2,1.0,3001,319.95035,0.2000423
fedavg,adaptive_evasion,17,8,2,3,0.2,1.0,3001,384.1227,0.20010115
fedavg,adaptive_evasion,18,8,2,3,0.2,1.0,3001,460.82974,0.20002003
fedavg,adaptive_evasion,19,8,2,3,0.2,1.0,3001,553.10583,0.2000348
fedavg,adaptive_evasion,0,8,2,3,0.2,1.0,4001,16.940168,0.19960022
fedavg,adaptive_evasion,1,8,2,3,0.2,1.0,4001,20.417446,0.19979689
fedavg,adaptive_evasion,2,8,2,3,0.2,1.0,4001,24.576635,0.19984967
fedavg,adaptive_evasion,3,8,2,3,0.2,1.0,4001,29.583529,0.20000066
fedavg,adaptive_evasion,4,8,2,3,0.2,1.0,4001,35.5599,0.19994657
fedavg,adaptive_evasion,5,8,2,3,0.2,1.0,4001,42.843033,0.20042323
fedavg,adaptive_evasion,6,8,2,3,0.2,1.0,4001,51.35069,0.19991562
fedavg,adaptive_evasion,7,8,2,3,0.2,1.0,4001,61.77107,0.20017807
fedavg,adaptive_evasion,8,8,2,3,0.2,1.0,4001,74.202286,0.20019872
fedavg,adaptive_evasion,9,8,2,3,0.2,1.0,4001,89.08037,0.20012747
fedavg,adaptive_evasion,10,8,2,3,0.2,1.0,4001,106.90028,0.20000492
fedavg,adaptive_evasion,11,8,2,3,0.2,1.0,4001,128.37233,0.2000403
fedavg,adaptive_evasion,12,8,2,3,0.2,1.0,4001,154.09459,0.20001239
fedavg,adaptive_evasion,13,8,2,3,0.2,1.0,4001,185.0628,0.2000989
fedavg,adaptive_evasion,14,8,2,3,0.2,1.0,4001,222.001,0.19996949
fedavg,adaptive_evasion,15,8,2,3,0.2,1.0,4001,266.4799,0.19997652
fedavg,adaptive_evasion,16,8,2,3,0.2,1.0,4001,319.8675,0.1999905
fedavg,adaptive_evasion,17,8,2,3,0.2,1.0,4001,383.85718,0.19996282
fedavg,adaptive_evasion,18,8,2,3,0.2,1.0,4001,460.86594,0.20003574
fedavg,adaptive_evasion,19,8,2,3,0.2,1.0,4001,552.9922,0.1999937
krum,adaptive_evasion,0,8,2,3,0.2,1.0,1,0.13920565,0.0016402126
krum,adaptive_evasion,1,8,2,3,0.2,1.0,1,0.3879176,0.009331848
krum,adaptive_evasion,2,8,2,3,0.2,1.0,1,0.20969842,0.0105277775
krum,adaptive_evasion,3,8,2,3,0.2,1.0,1,0.4022157,0.044232257
krum,adaptive_evasion,4,8,2,3,0.2,1.0,1,0.3633399,0.09871736
krum,adaptive_evasion,5,8,2,3,0.2,1.0,1,0.37281993,0.07827188
krum,adaptive_evasion,6,8,2,3,0.2,1.0,1,0.29438955,0.048561674
krum,adaptive_evasion,7,8,2,3,0.2,1.0,1,0.31431276,0.14517482
krum,adaptive_evasion,8,8,2,3,0.2,1.0,1,0.2603167,0.08840817
krum,adaptive_evasion,9,8,2,3,0.2,1.0,1,0.28637066,0.07381078
krum,adaptive_evasion,10,8,2,3,0.2,1.0,1,0.51315945,0.10258749
krum,adaptive_evasion,11,8,2,3,0.2,1.0,1,0.34140223,0.053772535
krum,adaptive_evasion,12,8,2,3,0.2,1.0,1,0.19943902,0.086394146
krum,adaptive_evasion,13,8,2,3,0.2,1.0,1,0.3415129,0.109579235
krum,adaptive_evasion,14,8,2,3,0.2,1.0,1,0.2785409,0.06816438
krum,adaptive_evasion,15,8,2,3,0.2,1.0,1,0.41518614,0.3527104
krum,adaptive_evasion,16,8,2,3,0.2,1.0,1,0.3948724,0.22449112
krum,adaptive_evasion,17,8,2,3,0.2,1.0,1,0.013457935,1.0
krum,adaptive_evasion,18,8,2,3,0.2,1.0,1,0.31885374,0.87945145
krum,adaptive_evasion,19,8,2,3,0.2,1.0,1,0.21981928,0.28128517
krum,adaptive_evasion,0,8,2,3,0.2,1.0,1001,0.16645326,0.001961262
krum,adaptive_evasion,1,8,2,3,0.2,1.0,1001,0.27051345,0.0065075424
krum,adaptive_evasion,2,8,2,3,0.2,1.0,1001,0.22888859,0.011491207
