aggregator,attack,n_rows,n_seeds,mean_distance_from_true_value,ci95_distance_from_true_value,mean_asr,ci95_asr,first_round_distance,last_round_distance
dss_fedavg,adaptive_evasion,400,5,3.338002,1.007142,0.490455,0.080788,17.012531,12.745505
dss_fedavg,alie,100,5,0.172932,0.015059,1.000000,0.000000,0.091310,0.031746
dss_fedavg,correlated_sybil,400,5,42.039329,1.818038,0.500117,0.021936,17.001228,65.466070
dss_fedavg,correlated_sybil_unstable,100,5,17.998969,0.184468,0.200152,0.000190,16.376663,17.871649
dss_fedavg,persistent_sybil,400,5,42.444583,1.861768,0.500110,0.021937,17.012531,67.859780
dss_fedavg,scaling,100,5,171.473028,0.000002,0.200017,0.000019,171.473020,171.473020
dss_krum,adaptive_evasion,100,5,0.301532,0.024649,0.497222,0.521614,0.139206,0.314044
dss_krum,alie,100,5,0.196888,0.017675,1.222733,0.138518,0.091310,0.031746
dss_krum,correlated_sybil,100,5,0.297227,0.023317,0.003505,0.000287,0.139206,0.116882
dss_krum,correlated_sybil_unstable,100,5,0.297227,0.023317,0.003314,0.000260,0.139206,0.116882
dss_krum,persistent_sybil,100,5,0.297227,0.023317,0.003502,0.000275,0.139206,0.116882
dss_krum,scaling,100,5,0.297227,0.023317,0.000347,0.000027,0.139206,0.116882
dsscoll_fedavg,adaptive_evasion,400,5,2.570774,1.005985,0.565300,0.211949,17.012531,0.298165
dsscoll_fedavg,alie,100,5,0.207206,0.018644,1.378600,0.197611,0.091310,0.013839
dsscoll_fedavg,correlated_sybil,400,5,10.998096,1.751338,0.131787,0.021027,17.001228,36.932182
dsscoll_fedavg,correlated_sybil_unstable,100,5,1.156675,0.762364,0.012861,0.008466,16.376663,0.351947
dsscoll_fedavg,persistent_sybil,400,5,3.402860,1.040450,0.040095,0.012259,17.012531,16.828047
dsscoll_fedavg,scaling,100,5,14.012353,7.600787,0.016344,0.008865,171.473020,0.334401
dssstab_fedavg,adaptive_evasion,100,5,1.176757,0.715679,0.109999,0.022849,17.012531,0.842838
dssstab_fedavg,alie,100,5,0.172932,0.015059,1.000000,0.000000,0.091310,0.031746
dssstab_fedavg,correlated_sybil,100,5,17.128025,0.232947,0.200185,0.000194,17.001228,18.595476
dssstab_fedavg,correlated_sybil_unstable,100,5,17.998969,0.184468,0.200152,0.000190,16.376663,17.871649
dssstab_fedavg,persistent_sybil,100,5,16.988764,0.016612,0.200173,0.000196,17.012531,16.956657
dssstab_fedavg,scaling,100,5,171.473028,0.000002,0.200017,0.000019,171.473020,171.473020
fedavg,adaptive_evasion,400,5,403.334791,45.182607,0.499996,0.021941,17.012531,2212.001700
fedavg,alie,100,5,0.172932,0.015059,1.000000,0.000000,0.091310,0.031746
fedavg,correlated_sybil,400,5,42.039329,1.818038,0.500117,0.021936,17.001228,65.466070
fedavg,correlated_sybil_unstable,100,5,17.998969,0.184468,0.200152,0.000190,16.376663,17.871649
fedavg,persistent_sybil,400,5,42.444583,1.861768,0.500110,0.021937,17.012531,67.859780
fedavg,scaling,100,5,171.473028,0.000002,0.200017,0.000019,171.473020,171.473020
flanders_fedavg,adaptive_evasion,400,5,342.350948,60.369763,0.585702,0.034106,17.012531,2765.048300
flanders_fedavg,alie,100,5,0.190144,0.015189,1.240211,0.139675,0.091310,0.118917
flanders_fedavg,correlated_sybil,400,5,55.563753,2.355069,0.660750,0.028315,17.001228,81.708015
flanders_fedavg,correlated_sybil_unstable,100,5,24.058372,1.153314,0.267540,0.012520,16.376663,25.414726
flanders_fedavg,persistent_sybil,400,5,56.085753,2.391267,0.660839,0.028175,17.012531,84.870490
flanders_fedavg,scaling,100,5,118.897106,22.833436,0.138696,0.026637,171.473020,244.944180
flanders_krum,adaptive_evasion,100,5,0.304728,0.027288,0.134724,0.040904,0.139206,0.314044
flanders_krum,alie,100,5,0.197849,0.018039,1.218754,0.127464,0.091310,0.031746
flanders_krum,correlated_sybil,100,5,0.305431,0.024242,0.003595,0.000291,0.139206,0.116882
flanders_krum,correlated_sybil_unstable,100,5,0.316991,0.024526,0.003537,0.000277,0.139206,0.385190
flanders_krum,persistent_sybil,100,5,0.310113,0.023669,0.003654,0.000279,0.139206,0.091559
flanders_krum,scaling,100,5,0.317161,0.025442,0.000370,0.000030,0.139206,0.091559
foolsgold,adaptive_evasion,400,5,1.391159,0.017270,1.221667,0.085613,1.553402,1.594807
foolsgold,alie,100,5,1.337448,0.043308,10.690651,2.089698,1.553402,1.380012
foolsgold,correlated_sybil,400,5,9.853559,0.549962,0.117587,0.006709,1.553402,8.894007
foolsgold,correlated_sybil_unstable,100,5,9.928411,1.090505,0.111862,0.012584,1.553402,16.680025
foolsgold,persistent_sybil,400,5,1.391161,0.017270,0.016392,0.000203,1.553402,1.594807
foolsgold,scaling,100,5,1.344710,0.040426,0.001569,0.000047,1.553402,1.356819
krum,adaptive_evasion,400,5,403.516035,66.671059,0.680963,0.042605,0.139206,2765.048000
krum,alie,100,5,0.196888,0.017675,1.222733,0.138518,0.091310,0.031746
krum,correlated_sybil,400,5,0.366038,0.017651,0.004356,0.000213,0.139206,0.314044
krum,correlated_sybil_unstable,100,5,0.297227,0.023317,0.003314,0.000260,0.139206,0.116882
krum,persistent_sybil,400,5,42.586464,4.149033,0.501782,0.048887,0.139206,84.870490
krum,scaling,100,5,0.297227,0.023317,0.000347,0.000027,0.139206,0.116882
