aggregator,attack,n_rows,n_seeds,mean_distance_from_true_value,ci95_distance_from_true_value,mean_asr,ci95_asr,first_round_distance,last_round_distance
bulyan,alie,20,5,0.160185,0.028351,1.012942,0.142043,0.106152,0.101111
bulyan,gaussian,20,5,0.175578,0.035663,0.005043,0.001968,0.053039,0.122496
bulyan,none,5,5,0.171120,0.076862,,,0.127047,0.138282
bulyan,scaling,20,5,35.930423,27.814144,0.041916,0.032448,0.053039,143.105960
bulyan,sign_flipping,20,5,0.625198,0.339252,0.058873,0.031965,0.053039,1.926878
divide_and_conquer,alie,20,5,0.155053,0.029407,0.970831,0.181257,0.042656,0.073666
divide_and_conquer,gaussian,20,5,3.196075,1.711548,0.100099,0.051508,0.091310,11.829439
divide_and_conquer,none,5,5,0.164340,0.071603,,,0.053973,0.136485
divide_and_conquer,scaling,20,5,66.763110,32.309831,0.077886,0.037693,0.091310,171.473020
divide_and_conquer,sign_flipping,20,5,0.881569,0.362643,0.082976,0.034181,0.091310,2.084881
faba,alie,20,5,0.152718,0.025746,0.982562,0.173443,0.042656,0.106538
faba,gaussian,20,5,2.818773,1.571357,0.091239,0.048875,0.091310,10.625550
faba,none,5,5,0.166129,0.071018,,,0.053973,0.145430
faba,scaling,20,5,66.763110,32.309831,0.077886,0.037693,0.091310,171.473020
faba,sign_flipping,20,5,0.881569,0.362643,0.082976,0.034181,0.091310,2.084881
fedavg,alie,20,5,0.143253,0.025200,0.886920,0.085898,0.091310,0.074421
fedavg,gaussian,20,5,9.483514,1.633149,0.229701,0.037528,10.030393,10.631827
fedavg,none,5,5,0.148819,0.054966,,,0.091310,0.086316
fedavg,scaling,20,5,196.581523,31.978432,0.229331,0.037306,95.284080,285.767200
fedavg,sign_flipping,20,5,2.400275,0.397940,0.225942,0.037450,1.139029,3.496812
foolsgold,alie,20,5,1.511713,0.037479,10.543306,1.785187,1.533748,1.609179
foolsgold,gaussian,20,5,8.862571,2.051825,0.213916,0.054096,9.004531,7.853895
foolsgold,none,5,5,1.442565,0.107467,,,1.509243,1.548018
foolsgold,scaling,20,5,1.502875,0.043416,0.001753,0.000051,1.533748,1.609179
foolsgold,sign_flipping,20,5,1.819487,0.235850,0.171224,0.022179,2.721255,1.609179
geometric_median,alie,20,5,0.159320,0.022612,0.989916,0.010326,0.091310,0.128498
geometric_median,gaussian,20,5,0.220725,0.041025,0.006149,0.001823,0.101423,0.270510
geometric_median,none,5,5,0.164851,0.049294,,,0.107609,0.173835
geometric_median,scaling,20,5,0.632688,0.293143,0.000738,0.000342,0.115790,1.737672
geometric_median,sign_flipping,20,5,0.214865,0.039881,0.020367,0.003961,0.078919,0.378268
krum,alie,20,5,0.180040,0.033863,1.200439,0.371617,0.091310,0.128809
krum,gaussian,20,5,0.341397,0.085427,0.011057,0.005824,0.139206,0.363340
krum,none,5,5,0.232741,0.107317,,,0.139206,0.414080
krum,scaling,20,5,0.372519,0.082145,0.000435,0.000096,0.139206,0.473343
krum,sign_flipping,20,5,0.320172,0.059437,0.030182,0.005759,0.139206,0.491558
median,alie,20,5,0.159166,0.018895,1.015571,0.062921,0.101942,0.128809
median,gaussian,20,5,0.260680,0.045257,0.007548,0.002547,0.143489,0.379786
median,none,5,5,0.173572,0.068479,,,0.062467,0.183042
median,scaling,20,5,0.309596,0.051687,0.000361,0.000060,0.139206,0.469172
median,sign_flipping,20,5,0.249107,0.042877,0.023564,0.004207,0.081295,0.331269
median_of_means,alie,20,5,0.164816,0.024668,1.022497,0.046824,0.100651,0.118325
median_of_means,gaussian,20,5,0.236502,0.035231,0.006559,0.002126,0.148212,0.199615
median_of_means,none,5,5,0.168649,0.076086,,,0.060610,0.104515
median_of_means,scaling,20,5,0.321396,0.037788,0.000375,0.000044,0.180029,0.421841
median_of_means,sign_flipping,20,5,0.265004,0.036422,0.024868,0.003275,0.118565,0.312871
multi_krum,alie,20,5,0.153175,0.025964,0.984447,0.173221,0.042656,0.106538
multi_krum,gaussian,20,5,2.818773,1.571357,0.091239,0.048875,0.091310,10.625550
multi_krum,none,5,5,0.166129,0.071018,,,0.053973,0.145430
multi_krum,scaling,20,5,66.763110,32.309831,0.077886,0.037693,0.091310,171.473020
multi_krum,sign_flipping,20,5,0.881569,0.362643,0.082976,0.034181,0.091310,2.084881
trimmed_mean,alie,20,5,0.148120,0.025957,0.915571,0.112968,0.039137,0.104710
trimmed_mean,gaussian,20,5,0.910586,0.641314,0.027930,0.016643,0.171554,3.174501
trimmed_mean,none,5,5,0.149441,0.069101,,,0.034995,0.122496
trimmed_mean,scaling,20,5,84.410938,40.559833,0.098474,0.047317,0.168643,214.484220
trimmed_mean,sign_flipping,20,5,1.197902,0.490090,0.112812,0.046155,0.117401,2.757130
