aggregator,attack,round,num_honest,num_attackers,dim,byzantine_fraction,seed,distance_from_true_value,asr
fedavg,gaussian,0,8,1,3,0.2222,1,10.030393,0.11140544
fedavg,gaussian,0,8,2,3,0.3,1,10.153022,0.19979243
fedavg,gaussian,0,8,3,3,0.3636,1,9.008157,0.27286372
fedavg,gaussian,0,8,4,3,0.4167,1,5.3063884,0.33186877
fedavg,sign_flipping,0,8,1,3,0.2222,1,1.1390287,0.10706257
fedavg,sign_flipping,0,8,2,3,0.3,1,2.088099,0.19627008
fedavg,sign_flipping,0,8,3,3,0.3636,1,2.8651738,0.26931092
fedavg,sign_flipping,0,8,4,3,0.4167,1,3.512862,0.33019012
fedavg,scaling,0,8,1,3,0.2222,1,95.28408,0.11116078
fedavg,scaling,0,8,2,3,0.3,1,171.47302,0.20004469
fedavg,scaling,0,8,3,3,0.3636,1,233.80945,0.2727679
fedavg,scaling,0,8,4,3,0.4167,1,285.75644,0.33337057
fedavg,alie,0,8,1,3,0.2222,1,0.09130984,1.0
fedavg,alie,0,8,2,3,0.3,1,0.091309845,1.0000001
fedavg,alie,0,8,3,3,0.3636,1,0.07333895,0.5192925
fedavg,alie,0,8,4,3,0.4167,1,0.073108785,0.51766276
krum,gaussian,0,8,1,3,0.2222,1,0.13920565,0.0015461276
krum,gaussian,0,8,2,3,0.3,1,0.13920565,0.002739306
krum,gaussian,0,8,3,3,0.3636,1,0.13920565,0.0042166417
krum,gaussian,0,8,4,3,0.4167,1,0.13920565,0.008706111
krum,sign_flipping,0,8,1,3,0.2222,1,0.13920565,0.013084582
krum,sign_flipping,0,8,2,3,0.3,1,0.13920565,0.013084582
krum,sign_flipping,0,8,3,3,0.3636,1,0.13920565,0.013084582
krum,sign_flipping,0,8,4,3,0.4167,1,0.13920565,0.013084582
krum,scaling,0,8,1,3,0.2222,1,0.13920565,0.00016240077
krum,scaling,0,8,2,3,0.3,1,0.13920565,0.00016240077
