aggregator,attack,n_rows,n_seeds,mean_distance_from_true_value,ci95_distance_from_true_value,mean_asr,ci95_asr,first_round_distance,last_round_distance
bulyan,alie,4,1,0.117959,,1.029761,,0.106152,0.141229
bulyan,gaussian,4,1,0.083100,,0.003051,,0.053039,0.119314
bulyan,scaling,4,1,0.083100,,0.000097,,0.053039,0.119314
bulyan,sign_flipping,4,1,0.083100,,0.007811,,0.053039,0.119314
divide_and_conquer,alie,4,1,0.050861,,0.460044,,0.042656,0.030480
divide_and_conquer,gaussian,4,1,0.107350,,0.003647,,0.091310,0.138855
divide_and_conquer,scaling,4,1,0.112999,,0.000132,,0.091310,0.134687
divide_and_conquer,sign_flipping,4,1,0.099617,,0.009363,,0.091310,0.107924
faba,alie,4,1,0.103861,,0.865887,,0.042656,0.156624
faba,gaussian,4,1,0.072642,,0.002054,,0.091310,0.053973
faba,scaling,4,1,0.072642,,0.000085,,0.091310,0.053973
faba,sign_flipping,4,1,0.072642,,0.006828,,0.091310,0.053973
fedavg,alie,4,1,0.082267,,0.759239,,0.091310,0.073109
fedavg,gaussian,4,1,8.624490,,0.228983,,10.030393,5.306388
fedavg,scaling,4,1,196.580748,,0.229336,,95.284080,285.756440
fedavg,sign_flipping,4,1,2.401291,,0.225708,,1.139029,3.512862
foolsgold,alie,4,1,1.559908,,14.032859,,1.533748,1.582964
foolsgold,gaussian,4,1,9.708635,,0.295050,,9.004531,9.098546
foolsgold,scaling,4,1,1.559908,,0.001820,,1.533748,1.582964
foolsgold,sign_flipping,4,1,1.856784,,0.174528,,2.721255,1.582964
geometric_median,alie,4,1,0.114947,,0.990640,,0.091310,0.140525
geometric_median,gaussian,4,1,0.110509,,0.003619,,0.101423,0.121245
geometric_median,scaling,4,1,0.587461,,0.000685,,0.115790,1.756582
geometric_median,sign_flipping,4,1,0.183784,,0.017275,,0.078919,0.285173
krum,alie,4,1,0.116269,,1.000000,,0.091310,0.141229
krum,gaussian,4,1,0.139206,,0.004302,,0.139206,0.139206
krum,scaling,4,1,0.139206,,0.000162,,0.139206,0.139206
krum,sign_flipping,4,1,0.139206,,0.013085,,0.139206,0.139206
median,alie,4,1,0.116922,,1.018345,,0.101942,0.137328
median,gaussian,4,1,0.117384,,0.003696,,0.143489,0.123346
median,scaling,4,1,0.246059,,0.000287,,0.139206,0.358473
median,sign_flipping,4,1,0.228877,,0.021513,,0.081295,0.379556
median_of_means,alie,4,1,0.111810,,0.986508,,0.100651,0.122970
median_of_means,gaussian,4,1,0.143896,,0.003693,,0.148212,0.056637
median_of_means,scaling,4,1,0.240159,,0.000280,,0.180029,0.300289
median_of_means,sign_flipping,4,1,0.170542,,0.016030,,0.118565,0.222520
multi_krum,alie,4,1,0.098622,,0.808518,,0.042656,0.156624
multi_krum,gaussian,4,1,0.072642,,0.002054,,0.091310,0.053973
multi_krum,scaling,4,1,0.072642,,0.000085,,0.091310,0.053973
multi_krum,sign_flipping,4,1,0.072642,,0.006828,,0.091310,0.053973
trimmed_mean,alie,4,1,0.086698,,0.720306,,0.039137,0.137328
trimmed_mean,gaussian,4,1,0.114923,,0.003545,,0.171554,0.123346
trimmed_mean,scaling,4,1,0.269837,,0.000315,,0.168643,0.358473
trimmed_mean,sign_flipping,4,1,0.248402,,0.023348,,0.117401,0.379556
