aggregator,attack,round,num_honest,num_attackers,dim,byzantine_fraction,seed,distance_from_true_value,asr
fedavg,persistent_sybil,0,8,2,3,0.2,1,17.012531,0.20045285
fedavg,persistent_sybil,1,8,2,3,0.2,1,16.932629,0.19951138
fedavg,persistent_sybil,2,8,2,3,0.2,1,17.01689,0.2005042
fedavg,persistent_sybil,3,8,2,3,0.2,1,17.081415,0.20126449
fedavg,persistent_sybil,4,8,2,3,0.2,1,16.999651,0.20030108
fedavg,persistent_sybil,5,8,2,3,0.2,1,17.075895,0.20119944
fedavg,persistent_sybil,6,8,2,3,0.2,1,16.906866,0.19920783
fedavg,persistent_sybil,7,8,2,3,0.2,1,16.885195,0.19895248
fedavg,persistent_sybil,8,8,2,3,0.2,1,17.099262,0.20147477
fedavg,persistent_sybil,9,8,2,3,0.2,1,16.92806,0.19945756
fedavg,persistent_sybil,10,8,2,3,0.2,1,17.19645,0.20261988
fedavg,persistent_sybil,11,8,2,3,0.2,1,16.97356,0.19999366
fedavg,persistent_sybil,12,8,2,3,0.2,1,16.911606,0.19926368
fedavg,persistent_sybil,13,8,2,3,0.2,1,17.068186,0.2011086
fedavg,persistent_sybil,14,8,2,3,0.2,1,17.104067,0.20153138
fedavg,persistent_sybil,15,8,2,3,0.2,1,16.91897,0.19935045
fedavg,persistent_sybil,16,8,2,3,0.2,1,16.962631,0.1998649
fedavg,persistent_sybil,17,8,2,3,0.2,1,16.98579,0.20013776
fedavg,persistent_sybil,18,8,2,3,0.2,1,17.038263,0.20075603
fedavg,persistent_sybil,19,8,2,3,0.2,1,16.905859,0.19919597
fedavg,persistent_sybil,0,8,2,3,0.2,1001,16.926119,0.19943468
fedavg,persistent_sybil,1,8,2,3,0.2,1001,17.048243,0.20087361
fedavg,persistent_sybil,2,8,2,3,0.2,1001,16.949984,0.19971587
fedavg,persistent_sybil,3,8,2,3,0.2,1001,16.976948,0.20003358
fedavg,persistent_sybil,4,8,2,3,0.2,1001,16.88125,0.198906
fedavg,persistent_sybil,5,8,2,3,0.2,1001,17.049185,0.20088471
fedavg,persistent_sybil,6,8,2,3,0.2,1001,16.997623,0.2002772
fedavg,persistent_sybil,7,8,2,3,0.2,1001,16.885332,0.1989541
fedavg,persistent_sybil,8,8,2,3,0.2,1001,17.118654,0.20170325
fedavg,persistent_sybil,9,8,2,3,0.2,1001,17.075825,0.20119861
fedavg,persistent_sybil,10,8,2,3,0.2,1001,16.911064,0.19925728
fedavg,persistent_sybil,11,8,2,3,0.2,1001,17.053932,0.20094065
fedavg,persistent_sybil,12,8,2,3,0.2,1001,17.026289,0.20061494
fedavg,persistent_sybil,13,8,2,3,0.2,1001,17.131077,0.20184962
fedavg,persistent_sybil,14,8,2,3,0.2,1001,17.060017,0.20101234
fedavg,persistent_sybil,15,8,2,3,0.2,1001,16.900433,0.19913203
fedavg,persistent_sybil,16,8,2,3,0.2,1001,16.851702,0.19855784
fedavg,persistent_sybil,17,8,2,3,0.2,1001,17.002214,0.20033129
fedavg,persistent_sybil,18,8,2,3,0.2,1001,16.984417,0.20012158
fedavg,persistent_sybil,19,8,2,3,0.2,1001,17.002941,0.20033985
fedavg,persistent_sybil,0,8,2,3,0.2,2001,17.026028,0.20061187
fedavg,persistent_sybil,1,8,2,3,0.2,2001,16.73597,0.19719422
fedavg,persistent_sybil,2,8,2,3,0.2,2001,16.83839,0.198401
fedavg,persistent_sybil,3,8,2,3,0.2,2001,16.905746,0.19919464
fedavg,persistent_sybil,4,8,2,3,0.2,2001,17.090366,0.20136994
fedavg,persistent_sybil,5,8,2,3,0.2,2001,16.88737,0.1989781
fedavg,persistent_sybil,6,8,2,3,0.2,2001,16.952198,0.19974196
fedavg,persistent_sybil,7,8,2,3,0.2,2001,16.955162,0.19977689
