aggregator,attack,n_rows,n_seeds,mean_distance_from_true_value,ci95_distance_from_true_value,mean_asr,ci95_asr,first_round_distance,last_round_distance
bulyan,adaptive_evasion,100,5,0.198283,0.018218,0.052496,0.010953,0.127047,0.145225
bulyan,persistent_sybil,100,5,0.196453,0.017120,0.002315,0.000202,0.127047,0.145225
divide_and_conquer,adaptive_evasion,100,5,0.172932,0.015059,0.044089,0.006086,0.091310,0.031746
divide_and_conquer,persistent_sybil,100,5,0.172932,0.015059,0.002038,0.000177,0.091310,0.031746
faba,adaptive_evasion,100,5,0.172932,0.015059,0.044089,0.006086,0.091310,0.031746
faba,persistent_sybil,100,5,0.172932,0.015059,0.002038,0.000177,0.091310,0.031746
fedavg,adaptive_evasion,100,5,161.344587,30.476237,0.200000,0.000076,17.012531,552.992200
fedavg,persistent_sybil,100,5,16.988764,0.016612,0.200173,0.000196,17.012531,16.956657
foolsgold,adaptive_evasion,100,5,1.344648,0.040546,1.358651,0.189977,1.553402,1.356758
foolsgold,persistent_sybil,100,5,1.344654,0.040546,0.015844,0.000478,1.553402,1.356736
geometric_median,adaptive_evasion,100,5,0.239685,0.019441,0.042530,0.006040,0.149368,0.113752
geometric_median,persistent_sybil,100,5,0.243299,0.019655,0.002867,0.000232,0.149368,0.112281
krum,adaptive_evasion,100,5,0.297117,0.023679,0.120903,0.031417,0.139206,0.116882
krum,persistent_sybil,100,5,0.297227,0.023317,0.003502,0.000275,0.139206,0.116882
median,adaptive_evasion,100,5,0.257495,0.021406,0.041635,0.006207,0.194332,0.151031
median,persistent_sybil,100,5,0.257495,0.021406,0.003034,0.000252,0.194332,0.151031
median_of_means,adaptive_evasion,100,5,0.232512,0.020168,0.043600,0.006781,0.180029,0.102376
median_of_means,persistent_sybil,100,5,0.232512,0.020168,0.002740,0.000238,0.180029,0.102376
multi_krum,adaptive_evasion,100,5,0.172932,0.015059,0.044089,0.006086,0.091310,0.031746
multi_krum,persistent_sybil,100,5,0.172932,0.015059,0.002038,0.000177,0.091310,0.031746
trimmed_mean,adaptive_evasion,100,5,0.273286,0.020123,0.038143,0.004962,0.268517,0.182764
trimmed_mean,persistent_sybil,100,5,0.273286,0.020123,0.003220,0.000237,0.268517,0.182764
