aggregator,shift,seed,client_group,client_index,leave_one_out_influence
fedavg,0.0,1,majority,0,0.074970335
fedavg,0.0,1,majority,1,0.1005389
fedavg,0.0,1,majority,2,0.00818713
fedavg,0.0,1,majority,3,0.05166134
fedavg,0.0,1,majority,4,0.08310084
fedavg,0.0,1,majority,5,0.055610687
fedavg,0.0,1,minority,0,0.07066458
fedavg,0.0,1,minority,1,0.1272703
fedavg,0.0,2,majority,0,0.1012357
fedavg,0.0,2,majority,1,0.041983597
fedavg,0.0,2,majority,2,0.074644245
fedavg,0.0,2,majority,3,0.044388242
fedavg,0.0,2,majority,4,0.018255303
fedavg,0.0,2,majority,5,0.063572735
fedavg,0.0,2,minority,0,0.053087268
fedavg,0.0,2,minority,1,0.11595879
fedavg,0.0,3,majority,0,0.05719394
fedavg,0.0,3,majority,1,0.03848692
fedavg,0.0,3,majority,2,0.044890236
fedavg,0.0,3,majority,3,0.027408138
fedavg,0.0,3,majority,4,0.081928864
fedavg,0.0,3,majority,5,0.0431136
fedavg,0.0,3,minority,0,0.046011835
fedavg,0.0,3,minority,1,0.07762144
fedavg,0.0,4,majority,0,0.03752218
fedavg,0.0,4,majority,1,0.07038555
fedavg,0.0,4,majority,2,0.0630832
fedavg,0.0,4,majority,3,0.08605077
fedavg,0.0,4,majority,4,0.027428826
fedavg,0.0,4,majority,5,0.16613029
fedavg,0.0,4,minority,0,0.039685775
fedavg,0.0,4,minority,1,0.05139671
fedavg,0.0,5,majority,0,0.04722661
fedavg,0.0,5,majority,1,0.07731046
fedavg,0.0,5,majority,2,0.047830854
fedavg,0.0,5,majority,3,0.06527902
fedavg,0.0,5,majority,4,0.07600069
fedavg,0.0,5,majority,5,0.05410317
fedavg,0.0,5,minority,0,0.074692495
fedavg,0.0,5,minority,1,0.08273823
fedavg,0.0,6,majority,0,0.0951761
fedavg,0.0,6,majority,1,0.06193148
fedavg,0.0,6,majority,2,0.080142654
fedavg,0.0,6,majority,3,0.1082556
fedavg,0.0,6,majority,4,0.040440116
fedavg,0.0,6,majority,5,0.035000034
fedavg,0.0,6,minority,0,0.08724465
fedavg,0.0,6,minority,1,0.025777934
fedavg,0.0,7,majority,0,0.047362342
fedavg,0.0,7,majority,1,0.04794201
fedavg,0.0,7,majority,2,0.045561448
fedavg,0.0,7,majority,3,0.12705077
fedavg,0.0,7,majority,4,0.0429133
fedavg,0.0,7,majority,5,0.054618813
fedavg,0.0,7,minority,0,0.026042333
fedavg,0.0,7,minority,1,0.08552175
fedavg,0.0,8,majority,0,0.05234507
fedavg,0.0,8,majority,1,0.043490633
fedavg,0.0,8,majority,2,0.08910719
fedavg,0.0,8,majority,3,0.085635245
fedavg,0.0,8,majority,4,0.11854933
fedavg,0.0,8,majority,5,0.09295782
fedavg,0.0,8,minority,0,0.0796396
fedavg,0.0,8,minority,1,0.06909462
fedavg,0.0,9,majority,0,0.042654797
fedavg,0.0,9,majority,1,0.013374023
fedavg,0.0,9,majority,2,0.10620025
fedavg,0.0,9,majority,3,0.079821415
fedavg,0.0,9,majority,4,0.030699112
fedavg,0.0,9,majority,5,0.09471059
fedavg,0.0,9,minority,0,0.08090646
fedavg,0.0,9,minority,1,0.07030424
fedavg,0.0,10,majority,0,0.044062354
fedavg,0.0,10,majority,1,0.076429635
fedavg,0.0,10,majority,2,0.10219462
fedavg,0.0,10,majority,3,0.066390425
fedavg,0.0,10,majority,4,0.06466311
fedavg,0.0,10,majority,5,0.11274195
fedavg,0.0,10,minority,0,0.022742445
fedavg,0.0,10,minority,1,0.05319889
fedavg,0.0,11,majority,0,0.06858502
fedavg,0.0,11,majority,1,0.05875922
fedavg,0.0,11,majority,2,0.08451625
fedavg,0.0,11,majority,3,0.09430322
fedavg,0.0,11,majority,4,0.06273924
fedavg,0.0,11,majority,5,0.055063847
fedavg,0.0,11,minority,0,0.072782464
fedavg,0.0,11,minority,1,0.056393646
fedavg,0.0,12,majority,0,0.07865908
fedavg,0.0,12,majority,1,0.13395344
fedavg,0.0,12,majority,2,0.053891655
fedavg,0.0,12,majority,3,0.055578087
fedavg,0.0,12,majority,4,0.08929964
fedavg,0.0,12,majority,5,0.06855584
fedavg,0.0,12,minority,0,0.06724493
fedavg,0.0,12,minority,1,0.0474816
fedavg,0.0,13,majority,0,0.048165914
fedavg,0.0,13,majority,1,0.021763388
fedavg,0.0,13,majority,2,0.09018774
fedavg,0.0,13,majority,3,0.040155143
fedavg,0.0,13,majority,4,0.095628425
fedavg,0.0,13,majority,5,0.067824304
fedavg,0.0,13,minority,0,0.085489996
fedavg,0.0,13,minority,1,0.115258425
fedavg,0.0,14,majority,0,0.025899012
fedavg,0.0,14,majority,1,0.09540469
fedavg,0.0,14,majority,2,0.03559799
fedavg,0.0,14,majority,3,0.07335498
fedavg,0.0,14,majority,4,0.097546026
fedavg,0.0,14,majority,5,0.04388315
fedavg,0.0,14,minority,0,0.09649958
fedavg,0.0,14,minority,1,0.09283336
fedavg,0.0,15,majority,0,0.037548456
fedavg,0.0,15,majority,1,0.04616224
fedavg,0.0,15,majority,2,0.091729894
fedavg,0.0,15,majority,3,0.116224304
fedavg,0.0,15,majority,4,0.116493635
fedavg,0.0,15,majority,5,0.049567252
fedavg,0.0,15,minority,0,0.038653776
fedavg,0.0,15,minority,1,0.082375735
fedavg,0.0,16,majority,0,0.12222281
fedavg,0.0,16,majority,1,0.09184502
fedavg,0.0,16,majority,2,0.057144377
fedavg,0.0,16,majority,3,0.042261083
fedavg,0.0,16,majority,4,0.11879505
fedavg,0.0,16,majority,5,0.037104275
fedavg,0.0,16,minority,0,0.10260978
fedavg,0.0,16,minority,1,0.054570388
fedavg,0.0,17,majority,0,0.04884314
fedavg,0.0,17,majority,1,0.10440914
fedavg,0.0,17,majority,2,0.0727918
fedavg,0.0,17,majority,3,0.0803196
fedavg,0.0,17,majority,4,0.052429814
fedavg,0.0,17,majority,5,0.09399516
fedavg,0.0,17,minority,0,0.063230515
fedavg,0.0,17,minority,1,0.039457444
fedavg,0.0,18,majority,0,0.07055964
fedavg,0.0,18,majority,1,0.05670618
fedavg,0.0,18,majority,2,0.090888
fedavg,0.0,18,majority,3,0.047309835
fedavg,0.0,18,majority,4,0.023186378
fedavg,0.0,18,majority,5,0.020945868
fedavg,0.0,18,minority,0,0.024270264
fedavg,0.0,18,minority,1,0.059715882
fedavg,0.0,19,majority,0,0.101361394
fedavg,0.0,19,majority,1,0.054424085
fedavg,0.0,19,majority,2,0.034481853
fedavg,0.0,19,majority,3,0.083134905
fedavg,0.0,19,majority,4,0.02728125
fedavg,0.0,19,majority,5,0.07149739
fedavg,0.0,19,minority,0,0.061709408
fedavg,0.0,19,minority,1,0.07838012
fedavg,0.0,20,majority,0,0.08142286
fedavg,0.0,20,majority,1,0.05233324
fedavg,0.0,20,majority,2,0.0635259
fedavg,0.0,20,majority,3,0.03291211
fedavg,0.0,20,majority,4,0.052631296
fedavg,0.0,20,majority,5,0.0257073
fedavg,0.0,20,minority,0,0.08653609
fedavg,0.0,20,minority,1,0.023191506
fedavg,0.5,1,majority,0,0.05791471
fedavg,0.5,1,majority,1,0.10642633
fedavg,0.5,1,majority,2,0.02411417
fedavg,0.5,1,majority,3,0.05655812
fedavg,0.5,1,majority,4,0.0797687
fedavg,0.5,1,majority,5,0.072048075
fedavg,0.5,1,minority,0,0.11209556
fedavg,0.5,1,minority,1,0.115247935
fedavg,0.5,2,majority,0,0.110899925
fedavg,0.5,2,majority,1,0.04833762
fedavg,0.5,2,majority,2,0.063947834
fedavg,0.5,2,majority,3,0.061396062
fedavg,0.5,2,majority,4,0.02297028
fedavg,0.5,2,majority,5,0.05558534
fedavg,0.5,2,minority,0,0.084591135
fedavg,0.5,2,minority,1,0.12513591
fedavg,0.5,3,majority,0,0.072452836
fedavg,0.5,3,majority,1,0.053242967
fedavg,0.5,3,majority,2,0.060871016
fedavg,0.5,3,majority,3,0.014248547
fedavg,0.5,3,majority,4,0.07602229
