aggregator,attack,round,num_honest,num_attackers,dim,byzantine_fraction,clip_radius,seed,distance_from_true_value,asr
fedavg,persistent_sybil,0,9,1,3,0.2,1.0,1,8.50353,0.100194186
fedavg,persistent_sybil,1,9,1,3,0.2,1.0,1,8.4246435,0.099264696
fedavg,persistent_sybil,2,9,1,3,0.2,1.0,1,8.574983,0.101036094
fedavg,persistent_sybil,3,9,1,3,0.2,1.0,1,8.600955,0.10134211
fedavg,persistent_sybil,4,9,1,3,0.2,1.0,1,8.512517,0.10030008
fedavg,persistent_sybil,5,9,1,3,0.2,1.0,1,8.622744,0.101598844
fedavg,persistent_sybil,6,9,1,3,0.2,1.0,1,8.414796,0.09914867
fedavg,persistent_sybil,7,9,1,3,0.2,1.0,1,8.407121,0.09905823
fedavg,persistent_sybil,8,9,1,3,0.2,1.0,1,8.606114,0.10140291
fedavg,persistent_sybil,9,9,1,3,0.2,1.0,1,8.380522,0.098744825
fedavg,persistent_sybil,10,9,1,3,0.2,1.0,1,8.6906185,0.10239859
fedavg,persistent_sybil,11,9,1,3,0.2,1.0,1,8.44657,0.09952305
fedavg,persistent_sybil,12,9,1,3,0.2,1.0,1,8.461575,0.09969984
fedavg,persistent_sybil,13,9,1,3,0.2,1.0,1,8.5852,0.10115648
fedavg,persistent_sybil,14,9,1,3,0.2,1.0,1,8.689226,0.10238218
fedavg,persistent_sybil,15,9,1,3,0.2,1.0,1,8.448624,0.099547245
fedavg,persistent_sybil,16,9,1,3,0.2,1.0,1,8.491713,0.10005495
fedavg,persistent_sybil,17,9,1,3,0.2,1.0,1,8.504127,0.10020122
fedavg,persistent_sybil,18,9,1,3,0.2,1.0,1,8.562549,0.100889586
fedavg,persistent_sybil,19,9,1,3,0.2,1.0,1,8.463579,0.09972346
fedavg,persistent_sybil,0,9,1,3,0.2,1.0,1001,8.416716,0.09917129
fedavg,persistent_sybil,1,9,1,3,0.2,1.0,1001,8.579553,0.10108994
fedavg,persistent_sybil,2,9,1,3,0.2,1.0,1001,8.466865,0.09976217
fedavg,persistent_sybil,3,9,1,3,0.2,1.0,1001,8.5256405,0.10045471
fedavg,persistent_sybil,4,9,1,3,0.2,1.0,1001,8.348329,0.0983655
fedavg,persistent_sybil,5,9,1,3,0.2,1.0,1001,8.554733,0.1007975
fedavg,persistent_sybil,6,9,1,3,0.2,1.0,1001,8.477101,0.09988279
fedavg,persistent_sybil,7,9,1,3,0.2,1.0,1001,8.358356,0.09848366
fedavg,persistent_sybil,8,9,1,3,0.2,1.0,1001,8.639767,0.10179942
fedavg,persistent_sybil,9,9,1,3,0.2,1.0,1001,8.614669,0.1015037
fedavg,persistent_sybil,10,9,1,3,0.2,1.0,1001,8.446147,0.09951806
fedavg,persistent_sybil,11,9,1,3,0.2,1.0,1001,8.556397,0.10081711
fedavg,persistent_sybil,12,9,1,3,0.2,1.0,1001,8.545279,0.100686096
fedavg,persistent_sybil,13,9,1,3,0.2,1.0,1001,8.663114,0.10207451
fedavg,persistent_sybil,14,9,1,3,0.2,1.0,1001,8.55692,0.10082327
fedavg,persistent_sybil,15,9,1,3,0.2,1.0,1001,8.42111,0.09922306
fedavg,persistent_sybil,16,9,1,3,0.2,1.0,1001,8.337696,0.09824023
fedavg,persistent_sybil,17,9,1,3,0.2,1.0,1001,8.490872,0.10004505
fedavg,persistent_sybil,18,9,1,3,0.2,1.0,1001,8.532376,0.100534074
fedavg,persistent_sybil,19,9,1,3,0.2,1.0,1001,8.487959,0.10001072
fedavg,persistent_sybil,0,9,1,3,0.2,1.0,2001,8.529858,0.1005044
fedavg,persistent_sybil,1,9,1,3,0.2,1.0,2001,8.315652,0.097980484
fedavg,persistent_sybil,2,9,1,3,0.2,1.0,2001,8.318751,0.09801701
fedavg,persistent_sybil,3,9,1,3,0.2,1.0,2001,8.3974495,0.09894428
fedavg,persistent_sybil,4,9,1,3,0.2,1.0,2001,8.6325245,0.10171409
fedavg,persistent_sybil,5,9,1,3,0.2,1.0,2001,8.428716,0.09931268
fedavg,persistent_sybil,6,9,1,3,0.2,1.0,2001,8.460149,0.09968305
fedavg,persistent_sybil,7,9,1,3,0.2,1.0,2001,8.485865,0.09998605
fedavg,persistent_sybil,8,9,1,3,0.2,1.0,2001,8.590753,0.101221904
fedavg,persistent_sybil,9,9,1,3,0.2,1.0,2001,8.61867,0.10155085
fedavg,persistent_sybil,10,9,1,3,0.2,1.0,2001,8.431547,0.09934604
fedavg,persistent_sybil,11,9,1,3,0.2,1.0,2001,8.465362,0.09974446
