aggregator,attack,n_rows,n_seeds,mean_distance_from_true_value,ci95_distance_from_true_value,mean_asr,ci95_asr,first_round_distance,last_round_distance
dss_fedavg,adaptive_evasion,100,5,36.339676,8.796863,0.048270,0.005898,8.503530,51.477390
dss_fedavg,persistent_sybil,100,5,8.504395,0.018117,0.100204,0.000213,8.503530,8.484703
dss_krum,adaptive_evasion,100,5,0.299926,0.022437,0.001042,0.000219,0.298620,0.314044
dss_krum,persistent_sybil,100,5,0.299926,0.022437,0.003534,0.000264,0.298620,0.314044
fedavg,adaptive_evasion,100,5,80.681772,15.239337,0.100010,0.000077,8.503530,276.502380
fedavg,persistent_sybil,100,5,8.504395,0.018117,0.100204,0.000213,8.503530,8.484703
foolsgold,adaptive_evasion,100,5,8.104154,6.986099,0.011806,0.004799,1.553402,1.333365
foolsgold,persistent_sybil,100,5,1.790543,0.313000,0.021097,0.003688,1.553402,1.333365
krum,adaptive_evasion,100,5,0.299926,0.022437,0.001042,0.000219,0.298620,0.314044
krum,persistent_sybil,100,5,0.299926,0.022437,0.003534,0.000264,0.298620,0.314044
