aggregator,attack,n_rows,n_seeds,mean_distance_from_true_value,ci95_distance_from_true_value,mean_asr,ci95_asr,first_round_distance,last_round_distance
centered_clipping,adaptive_evasion,100,5,10.682634,0.680674,0.078089,0.007527,16.412890,4.957042
centered_clipping,persistent_sybil,100,5,10.682622,0.680676,0.125870,0.008020,16.412890,4.957023
centered_clipping,scaling,100,5,165.173056,0.681528,0.192668,0.000792,170.873030,159.473080
dss_fedavg,adaptive_evasion,100,5,1.175255,0.715726,0.109981,0.022852,17.012531,0.842838
dss_fedavg,persistent_sybil,100,5,16.988764,0.016611,0.200173,0.000196,17.012531,16.956657
dss_fedavg,scaling,100,5,171.473020,0.000000,0.200017,0.000019,171.473020,171.473020
fedavg,adaptive_evasion,100,5,161.344587,30.476237,0.200000,0.000076,17.012531,552.992200
fedavg,persistent_sybil,100,5,16.988764,0.016612,0.200173,0.000196,17.012531,16.956657
fedavg,scaling,100,5,171.473028,0.000002,0.200017,0.000019,171.473020,171.473020
foolsgold,adaptive_evasion,100,5,1.344648,0.040546,1.358651,0.189977,1.553402,1.356758
foolsgold,persistent_sybil,100,5,1.344654,0.040546,0.015844,0.000478,1.553402,1.356736
foolsgold,scaling,100,5,1.344710,0.040426,0.001569,0.000047,1.553402,1.356819
krum,adaptive_evasion,100,5,0.297117,0.023679,0.120903,0.031417,0.139206,0.116882
krum,persistent_sybil,100,5,0.297227,0.023317,0.003502,0.000275,0.139206,0.116882
krum,scaling,100,5,0.297227,0.023317,0.000347,0.000027,0.139206,0.116882
multi_krum,adaptive_evasion,100,5,0.172932,0.015059,0.044089,0.006086,0.091310,0.031746
multi_krum,persistent_sybil,100,5,0.172932,0.015059,0.002038,0.000177,0.091310,0.031746
multi_krum,scaling,100,5,0.172932,0.015059,0.000202,0.000018,0.091310,0.031746
