aggregator,attack,clip_radius,n_rows,n_seeds,mean_distance,distance_ci95,mean_asr,asr_ci95,first_round_distance,final_round_distance
centered_clipping,adaptive_evasion,0.25,100,5,15.402743,0.170465,0.083526,0.007853,16.862620,13.941764
centered_clipping,adaptive_evasion,1.0,100,5,10.682634,0.680674,0.078089,0.007527,16.412890,4.957042
centered_clipping,adaptive_evasion,4.0,100,5,3.319270,0.810234,0.063107,0.006679,14.613965,0.996696
centered_clipping,adaptive_evasion,16.0,100,5,4.230196,0.145669,0.064952,0.003184,7.418385,3.996221
centered_clipping,persistent_sybil,0.25,100,5,15.402738,0.170466,0.181485,0.002009,16.862620,13.941751
centered_clipping,persistent_sybil,1.0,100,5,10.682622,0.680676,0.125870,0.008020,16.412890,4.957023
centered_clipping,persistent_sybil,4.0,100,5,3.319314,0.810229,0.039110,0.009547,14.613965,0.997203
centered_clipping,persistent_sybil,16.0,100,5,4.230208,0.145669,0.049843,0.001716,7.418385,3.996225
centered_clipping,scaling,0.25,100,5,169.898041,0.170382,0.198179,0.000197,171.323030,168.473040
centered_clipping,scaling,1.0,100,5,165.173056,0.681528,0.192668,0.000792,170.873030,159.473080
centered_clipping,scaling,4.0,100,5,146.273164,2.726107,0.170621,0.003177,169.073040,123.473330
centered_clipping,scaling,16.0,100,5,72.975069,10.253841,0.085118,0.011959,161.873100,4.030729
