aggregator,attack,n_rows,n_seeds,mean_distance_from_true_value,ci95_distance_from_true_value,mean_asr,ci95_asr,first_round_distance,last_round_distance
dss_fedavg,adaptive_evasion,100,5,1.178464,0.715610,0.110007,0.022847,17.012531,0.842838
dss_fedavg,persistent_sybil,100,5,16.988764,0.016612,0.200173,0.000196,17.012531,16.956657
dss_fedavg,scaling,100,5,171.473028,0.000002,0.200017,0.000019,171.473020,171.473020
dss_krum,adaptive_evasion,100,5,0.296982,0.024057,0.284956,0.336990,0.139206,0.314044
dss_krum,persistent_sybil,100,5,0.297227,0.023317,0.003502,0.000275,0.139206,0.116882
dss_krum,scaling,100,5,0.297227,0.023317,0.000347,0.000027,0.139206,0.116882
dss_multi_krum,adaptive_evasion,100,5,0.197962,0.015785,0.052521,0.008520,0.091310,0.125612
dss_multi_krum,persistent_sybil,100,5,0.172932,0.015059,0.002038,0.000177,0.091310,0.031746
dss_multi_krum,scaling,100,5,0.172932,0.015059,0.000202,0.000018,0.091310,0.031746
dss_trimmed_mean,adaptive_evasion,100,5,0.202952,0.016750,0.045730,0.006691,0.268517,0.182764
dss_trimmed_mean,persistent_sybil,100,5,0.273286,0.020123,0.003220,0.000237,0.268517,0.182764
dss_trimmed_mean,scaling,100,5,0.273286,0.020123,0.000319,0.000024,0.268517,0.182764
dssraw_fedavg,adaptive_evasion,100,5,1.175296,0.715724,0.109982,0.022852,17.012531,0.842838
dssraw_fedavg,persistent_sybil,100,5,16.988764,0.016611,0.200173,0.000196,17.012531,16.956657
dssraw_fedavg,scaling,100,5,171.473020,0.000000,0.200017,0.000019,171.473020,171.473020
dssraw_krum,adaptive_evasion,100,5,1.013221,0.721587,0.051483,0.009111,17.012531,0.031746
dssraw_krum,persistent_sybil,100,5,16.988764,0.016611,0.200173,0.000196,17.012531,16.956657
dssraw_krum,scaling,100,5,171.473020,0.000000,0.200017,0.000019,171.473020,171.473020
dssraw_multi_krum,adaptive_evasion,100,5,1.013221,0.721587,0.051483,0.009111,17.012531,0.031746
dssraw_multi_krum,persistent_sybil,100,5,16.988764,0.016611,0.200173,0.000196,17.012531,16.956657
dssraw_multi_krum,scaling,100,5,171.473020,0.000000,0.200017,0.000019,171.473020,171.473020
dssraw_trimmed_mean,adaptive_evasion,100,5,1.013221,0.721587,0.051483,0.009111,17.012531,0.031746
dssraw_trimmed_mean,persistent_sybil,100,5,16.988764,0.016611,0.200173,0.000196,17.012531,16.956657
dssraw_trimmed_mean,scaling,100,5,171.473020,0.000000,0.200017,0.000019,171.473020,171.473020
fedavg,adaptive_evasion,100,5,161.344587,30.476237,0.200000,0.000076,17.012531,552.992200
fedavg,persistent_sybil,100,5,16.988764,0.016612,0.200173,0.000196,17.012531,16.956657
fedavg,scaling,100,5,171.473028,0.000002,0.200017,0.000019,171.473020,171.473020
krum,adaptive_evasion,100,5,0.297117,0.023679,0.120903,0.031417,0.139206,0.116882
krum,persistent_sybil,100,5,0.297227,0.023317,0.003502,0.000275,0.139206,0.116882
krum,scaling,100,5,0.297227,0.023317,0.000347,0.000027,0.139206,0.116882
multi_krum,adaptive_evasion,100,5,0.172932,0.015059,0.044089,0.006086,0.091310,0.031746
multi_krum,persistent_sybil,100,5,0.172932,0.015059,0.002038,0.000177,0.091310,0.031746
multi_krum,scaling,100,5,0.172932,0.015059,0.000202,0.000018,0.091310,0.031746
trimmed_mean,adaptive_evasion,100,5,0.273286,0.020123,0.038143,0.004962,0.268517,0.182764
trimmed_mean,persistent_sybil,100,5,0.273286,0.020123,0.003220,0.000237,0.268517,0.182764
trimmed_mean,scaling,100,5,0.273286,0.020123,0.000319,0.000024,0.268517,0.182764
