aggregator,attack,n_rows,n_seeds,mean_distance_from_true_value,ci95_distance_from_true_value,mean_asr,ci95_asr,first_round_distance,last_round_distance
dss_fedavg,correlated_sybil,100,5,17.128025,0.232947,0.200185,0.000194,17.001228,18.595476
dss_fedavg,correlated_sybil_unstable,100,5,17.998969,0.184468,0.200152,0.000190,16.376663,17.871649
dss_fedavg,persistent_sybil,100,5,16.988764,0.016612,0.200173,0.000196,17.012531,16.956657
dsscoll_fedavg,correlated_sybil,100,5,1.094012,0.726299,0.012803,0.008465,17.001226,0.330114
dsscoll_fedavg,correlated_sybil_unstable,100,5,1.156674,0.762365,0.012861,0.008466,16.376663,0.351947
dsscoll_fedavg,persistent_sybil,100,5,1.083105,0.718632,0.012762,0.008467,17.012531,0.339148
dssstab_fedavg,correlated_sybil,100,5,17.128025,0.232947,0.200185,0.000194,17.001228,18.595476
dssstab_fedavg,correlated_sybil_unstable,100,5,17.998969,0.184468,0.200152,0.000190,16.376663,17.871649
dssstab_fedavg,persistent_sybil,100,5,16.988764,0.016612,0.200173,0.000196,17.012531,16.956657
fedavg,correlated_sybil,100,5,17.128025,0.232947,0.200185,0.000194,17.001228,18.595476
fedavg,correlated_sybil_unstable,100,5,17.998969,0.184468,0.200152,0.000190,16.376663,17.871649
fedavg,persistent_sybil,100,5,16.988764,0.016612,0.200173,0.000196,17.012531,16.956657
foolsgold,correlated_sybil,100,5,7.534721,0.697301,0.089269,0.008807,1.553402,8.894007
foolsgold,correlated_sybil_unstable,100,5,9.928410,1.090505,0.111862,0.012584,1.553402,16.680025
foolsgold,persistent_sybil,100,5,1.344654,0.040546,0.015844,0.000478,1.553402,1.356736
krum,correlated_sybil,100,5,0.297227,0.023317,0.003505,0.000287,0.139206,0.116882
krum,correlated_sybil_unstable,100,5,0.297227,0.023317,0.003314,0.000260,0.139206,0.116882
krum,persistent_sybil,100,5,0.297227,0.023317,0.003502,0.000275,0.139206,0.116882
